observed_at	temp_c	humidity_pct	dewpoint_c	pressure_hPa
2021-12-18 00:00	11.130	28.341	-6.510	973.935
2021-12-18 00:01	11.058	28.764	-6.379	973.898
2021-12-18 00:02	11.033	28.979	-6.305	973.962
2021-12-18 00:03	11.192	28.024	-6.603	973.849
2021-12-18 00:04	11.161	28.470	-6.424	973.852
2021-12-18 00:05	11.151	28.310	-6.506	973.862
2021-12-18 00:06	11.110	28.400	-6.500	973.875
2021-12-18 00:07	11.151	28.340	-6.493	973.915
2021-12-18 00:08	11.253	28.070	-6.529	973.923
2021-12-18 00:09	11.289	27.647	-6.695	973.902
2021-12-18 00:10	11.366	27.662	-6.621	973.788
2021-12-18 00:11	11.335	27.883	-6.545	973.898
2021-12-18 00:12	11.212	28.154	-6.525	973.936
2021-12-18 00:13	11.243	28.159	-6.496	973.853
2021-12-18 00:14	11.269	28.034	-6.532	973.869
2021-12-18 00:15	11.253	27.826	-6.642	973.897
2021-12-18 00:16	11.181	28.226	-6.518	973.886
2021-12-18 00:17	11.187	28.119	-6.563	973.868
2021-12-18 00:18	11.151	28.209	-6.553	973.889
2021-12-18 00:19	11.248	27.939	-6.594	973.888
2021-12-18 00:20	11.279	27.802	-6.631	973.885
2021-12-18 00:21	11.228	28.064	-6.553	973.881
2021-12-18 00:22	11.181	28.589	-6.352	973.912
2021-12-18 00:23	11.135	28.340	-6.506	973.837
2021-12-18 00:24	11.140	28.311	-6.515	973.792
2021-12-18 00:25	11.028	28.973	-6.312	973.794
2021-12-18 00:26	11.130	28.329	-6.516	973.855
2021-12-18 00:27	10.997	28.855	-6.391	973.744
2021-12-18 00:28	10.961	29.206	-6.265	973.818
2021-12-18 00:29	10.966	29.295	-6.221	973.853
2021-12-18 00:30	11.002	28.724	-6.446	973.805
2021-12-18 00:31	10.956	29.135	-6.301	973.810
2021-12-18 00:32	10.940	29.106	-6.328	973.838
2021-12-18 00:33	10.997	28.641	-6.488	973.691
2021-12-18 00:34	11.069	28.313	-6.576	973.728
2021-12-18 00:35	11.140	28.186	-6.572	973.766
2021-12-18 00:36	11.130	28.311	-6.524	973.722
2021-12-18 00:37	11.053	28.925	-6.311	973.783
2021-12-18 00:38	10.981	28.742	-6.456	973.852
2021-12-18 00:39	10.971	28.588	-6.534	973.755
2021-12-18 00:40	11.028	28.492	-6.529	973.794
2021-12-18 00:41	11.038	28.301	-6.608	973.838
2021-12-18 00:42	11.048	28.485	-6.515	973.854
2021-12-18 00:43	11.084	28.235	-6.598	973.860
2021-12-18 00:44	11.130	27.996	-6.669	973.855
2021-12-18 00:45	11.048	28.913	-6.321	973.881
2021-12-18 00:46	11.028	28.308	-6.614	973.901
2021-12-18 00:47	11.002	28.386	-6.600	973.859
2021-12-18 00:48	11.028	28.082	-6.718	973.847
2021-12-18 00:49	11.104	27.878	-6.746	973.867
2021-12-18 00:50	11.007	28.285	-6.642	973.920
2021-12-18 00:51	11.053	28.105	-6.685	973.942
2021-12-18 00:52	11.135	27.806	-6.753	973.864
2021-12-18 00:53	11.115	27.771	-6.787	973.724
2021-12-18 00:54	11.207	27.625	-6.776	973.795
2021-12-18 00:55	11.161	27.722	-6.770	973.852
2021-12-18 00:56	11.166	27.579	-6.833	973.754
2021-12-18 00:57	11.130	28.382	-6.491	973.829
2021-12-18 00:58	11.151	27.805	-6.740	973.809
2021-12-18 00:59	11.115	27.628	-6.854	973.777
2021-12-18 01:00	11.089	27.700	-6.842	973.788
2021-12-18 01:01	11.130	27.824	-6.749	973.802
2021-12-18 01:02	11.007	27.940	-6.801	973.814
2021-12-18 01:03	11.069	27.772		973.781
2021-12-18 01:04	10.981	28.279	-6.667	973.772
2021-12-18 01:05	11.017	27.655	-6.925	973.777
2021-12-18 01:06	10.997	27.881	-6.837	973.797
2021-12-18 01:07	11.063	27.540	-6.939	973.746
2021-12-18 01:08		27.684
