observed_at	humidity_pct	dewpoint_c	pressure_hPa	temp_c
2024-09-29 00:00	12.686	1.439	961.944	34.08
2024-09-29 00:01	12.311	1.152	961.95	34.247
2024-09-29 00:02	12.241	1.166	962.015	34.368
2024-09-29 00:03	11.817	0.875	962.036	34.627
2024-09-29 00:04	11.702	0.912	961.918	34.85
2024-09-29 00:05	11.762	0.998	961.843	34.87
2024-09-29 00:06	11.469	0.753	961.933	35.007
2024-09-29 00:07	11.177	0.548	961.935	35.204
2024-09-29 00:08	10.991	0.455	961.965	35.387
2024-09-29 00:09	10.853	0.427	961.93	35.579
2024-09-29 00:10	10.922	0.503	961.932	35.564
2024-09-29 00:11	10.885	0.46	961.941	35.569
2024-09-29 00:12	10.888	0.498	961.908	35.615
2024-09-29 00:13	10.888	0.491	961.918	35.605
2024-09-29 00:14	10.815	0.393	961.91	35.599
2024-09-29 00:15	10.781	0.439	961.939	35.716
2024-09-29 00:16	11.059	0.795	961.894	35.721
2024-09-29 00:17	10.72	0.418	961.902	35.792
2024-09-29 00:18	10.964	0.575	961.866	35.589
2024-09-29 00:19	10.899	0.455	961.918	35.539
2024-09-29 00:20	11.287	0.698	961.887	35.225
2024-09-29 00:21	12.12	1.484	961.939	34.961
2024-09-29 00:22	12.519	1.678	961.955	34.627
2024-09-29 00:23	12.322	1.394	961.903	34.546
2024-09-29 00:24	12.372	1.298	961.955	34.348
2024-09-29 00:25	12.522	1.379	961.906	34.237
2024-09-29 00:26	12.748	1.503	961.963	34.075
2024-09-29 00:27	12.79	1.561	961.907	34.09
2024-09-29 00:28	12.92	1.623	961.929	33.989
2024-09-29 00:29	12.974	1.633	962.044	33.928
2024-09-29 00:30	13.052	1.74	962.013	33.958
2024-09-29 00:31	13.245	1.843	961.958	33.826
2024-09-29 00:32	13.271	1.78	961.955	33.71
2024-09-29 00:33	13.706	2.104	962.011	33.548
2024-09-29 00:34	13.403	1.89	962.165	33.675
2024-09-29 00:35	13.82	2.188	962.132	33.507
2024-09-29 00:36	13.934	2.113	962.081	33.264
2024-09-29 00:37	13.968	2.25	962.056	33.396
2024-09-29 00:38	13.496	1.833	962.082	33.477
2024-09-29 00:39	14.236	2.246	962.107	33.051
2024-09-29 00:40	13.608	1.932	962.076	33.457
2024-09-29 00:41	13.862	2.02	962.174	33.239
2024-09-29 00:42	13.852	1.979	962.161	33.198
2024-09-29 00:43	14.124	2.159	962.13	33.082
2024-09-29 00:44	14.253	2.283	962.23	33.077
2024-09-29 00:45	14.349	2.261	962.176	32.93
2024-09-29 00:46	14.101	2.045	962.18	32.965
2024-09-29 00:47	14.26	2.281	962.267	33.067
2024-09-29 00:48	13.714	1.803	962.247	33.153
2024-09-29 00:49	13.905	1.917	962.242	33.051
2024-09-29 00:50	14.501	2.421	962.228	32.945
2024-09-29 00:51	14.513	2.44	962.271	32.955
2024-09-29 00:52	14.585	2.374	962.229	32.783
2024-09-29 00:53	14.664	2.534	962.324	32.889
2024-09-29 00:54	15.714	3.34	962.296	32.677
2024-09-29 00:55	15.026	2.808	962.289	32.803
2024-09-29 00:56	14.291	2.229	962.253	32.96
2024-09-29 00:57	14.133	2.053	962.291	32.935
2024-09-29 00:58	14.504	2.236	962.346	32.707
2024-09-29 00:59	14.649	2.407	962.251	32.748
2024-09-29 01:00	14.296	2.023	962.267	32.692
2024-09-29 01:01	14.516	2.18	962.419	32.621
2024-09-29 01:02	13.517	1.752	962.349	33.345
